,index,label,review,scores,compound,Sentiment_of_the_Review
0,1,Extremely positive,"What can I say, absolutely I am enjoying iOS experience, and battery life amazing, Best Buy, only thing I missing fingerprint scanner.","{'neg': 0.076, 'neu': 0.519, 'pos': 0.404, 'compound': 0.888}",0.888,Extremely positive
1,2,Negetive,It’s very irritating each time you have to enter the password.,"{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.5095}",-0.5095,Extremely Negetive
2,3,Neutral,Due to covid we all wear the mask.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
3,4,Extremely positive,"Otherwise best buy Camera is excellent and pictures are sharp,clear,natural.","{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.836}",0.836,Extremely positive
4,5,Negetive,Slightly overpriced but you won’t regret in long term.,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Extremely Negetive
5,6,Extremely positive,"Almost The Beast One as 12 pro
Camera is not as 13 pro but the best camers This is another awesome product from Apple..","{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.9253}",0.9253,Extremely positive
6,7,Extremely positive,"Wonderful Camera quality
Feather touch
Good battery
Superb Night mode Camera

Overall, wonderful phone👍 In one word fantastic….","{'neg': 0.0, 'neu': 0.493, 'pos': 0.507, 'compound': 0.9371}",0.9371,Extremely positive
7,8,Neutral,Beast of a performer..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
8,9,Extremely positive,"It good right balance of size and performance
Battery life is major USP of this mobile …

Two major Cons :-
120 htz refresh rate is must have for this price point
Charging Speed is bit slow but that could be managed by great battery life Good experience Fantastic red .. just unboxed it so cannot say about anything else .","{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.9542}",0.9542,Extremely positive
9,10,Positive,Loved it .,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,Extremely positive
10,11,Positive,Thank you amazon Go on without any hesitation👍 I thought upgrading from 11 to 13 would be a hassle.,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4939}",0.4939,Positive
11,12,Neutral,"I could transfer all my data from 11 to 13 very easily, Never even had to connect to a pc or download an app.","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4005}",0.4005,Positive
12,13,Positive,This looks professional colour and perfect👍.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
13,14,Positive,Nice product.,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive
